x, Lorentz(x)
0.200000, 0.157579
0.210000, 0.157419
0.220000, 0.157252
0.230000, 0.157078
0.240000, 0.156896
0.250000, 0.156706
0.260000, 0.156510
0.270000, 0.156306
0.280000, 0.156095
0.290000, 0.155878
0.300000, 0.155653
0.310000, 0.155421
0.320000, 0.155182
0.330000, 0.154937
0.340000, 0.154685
0.350000, 0.154426
0.360000, 0.154160
0.370000, 0.153888
0.380000, 0.153610
0.390000, 0.153325
0.400000, 0.153034
0.410000, 0.152736
0.420000, 0.152433
0.430000, 0.152123
0.440000, 0.151807
0.450000, 0.151486
0.460000, 0.151159
0.470000, 0.150826
0.480000, 0.150487
0.490000, 0.150143
0.500000, 0.149793
0.510000, 0.149438
0.520000, 0.149077
0.530000, 0.148712
0.540000, 0.148341
0.550000, 0.147965
0.560000, 0.147584
0.570000, 0.147199
0.580000, 0.146808
0.590000, 0.146413
0.600000, 0.146014
0.610000, 0.145610
0.620000, 0.145201
0.630000, 0.144788
0.640000, 0.144371
0.650000, 0.143950
0.660000, 0.143525
0.670000, 0.143096
0.680000, 0.142663
0.690000, 0.142226
0.700000, 0.141786
0.710000, 0.141342
0.720000, 0.140895
0.730000, 0.140444
0.740000, 0.139990
0.750000, 0.139533
0.760000, 0.139073
0.770000, 0.138610
0.780000, 0.138143
0.790000, 0.137674
0.800000, 0.137203
0.810000, 0.136728
0.820000, 0.136251
0.830000, 0.135772
0.840000, 0.135290
0.850000, 0.134806
0.860000, 0.134319
0.870000, 0.133831
0.880000, 0.133340
0.890000, 0.132848
0.900000, 0.132353
0.910000, 0.131857
0.920000, 0.131359
0.930000, 0.130860
0.940000, 0.130359
0.950000, 0.129856
0.960000, 0.129352
0.970000, 0.128847
0.980000, 0.128340
0.990000, 0.127833
1.000000, 0.127324
1.010000, 0.126814
1.020000, 0.126303
1.030000, 0.125792
1.040000, 0.125279
1.050000, 0.124766
1.060000, 0.124252
1.070000, 0.123738
1.080000, 0.123223
1.090000, 0.122708
1.100000, 0.122192
1.110000, 0.121676
